,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
994,['银丰园一区 3室2厅 南 东'],75,5364,银丰园一区,郫都,橡树湾,3室2厅1厨2卫,高楼层 (共7层),139.83㎡,平层,暂无数据,板楼,南 东,砖混结构,简装,一梯四户,无,2020-05-18,商品房,2003-01-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
995,['桂溪欧苑 5室2厅 东南'],410,10990,桂溪欧苑,郫都,郫县城区,5室2厅1厨3卫,低楼层 (共1层),373.07㎡,,暂无数据,,东南,钢混结构,毛坯,,,2021-06-29,商品房,2019-03-28,别墅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,联排,,,
996,['星光大道C区 4室1厅 东'],100,5584,星光大道C区,郫都,郫县城区,4室1厅1厨2卫,中楼层 (共10层),179.11㎡,错层,暂无数据,板塔结合,东,钢混结构,简装,三梯五户,有,2021-07-21,商品房,2007-09-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
997,['今日花园 4室2厅 东南'],150,11362,今日花园,郫都,犀浦,4室2厅1厨2卫,中楼层 (共6层),132.03㎡,错层,暂无数据,板塔结合,东南,混合结构,简装,一梯两户,无,2020-05-02,商品房,2012-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",未上传房本照片,,,,
998,['今日花园 3室2厅 东南'],107,7710,今日花园,郫都,犀浦,3室2厅1厨2卫,中楼层 (共6层),138.79㎡,错层,暂无数据,板塔结合,东南,砖混结构,精装,一梯两户,无,2021-06-11,商品房,2004-05-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
999,['成外雅庭 3室1厅 东南'],136,12937,成外雅庭,郫都,成外,3室1厅1厨1卫,低楼层 (共18层),105.13㎡,平层,87.63㎡,塔楼,东南,钢混结构,简装,两梯六户,有,2021-05-23,商品房,2015-04-22,普通住宅,满五年,非共有,"
                                有抵押 40万元 中国银行蜀都支行 金融公司垫资
                              ",已上传房本照片,,,,
1000,['成都后花园三期 5室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,成都后花园三期,郫都,成外,5室2厅1厨2卫,中楼层 (共25层),135.52㎡,平层,113.22㎡,板塔结合,东南,框架结构,精装,三梯六户,有,2021-07-23,商品房,2015-08-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1001,['派克公馆 4室2厅 西南'],262,10491,派克公馆,郫都,成外,4室2厅1厨3卫,低楼层 (共18层),249.75㎡,跃层,暂无数据,板塔结合,西南,框架结构,精装,两梯两户,有,2021-10-22,商品房,2012-12-12,普通住宅,满五年,共有,"
                                有抵押 100万元 业主自还
                              ",已上传房本照片,,,,
1002,['启明花园 3室2厅 东南'],98,7425,启明花园,郫都,犀浦,3室2厅1厨2卫,高楼层 (共6层),132㎡,平层,120㎡,板塔结合,东南,钢混结构,精装,一梯两户,无,2019-09-18,商品房,2015-03-01,普通住宅,满五年,共有,"
                                有抵押 28万元 农业银行 业主自还
                              ",已上传房本照片,,,,
1003,['星光大道A区 3室2厅 西南'],97,7713,星光大道A区,郫都,郫县城区,3室2厅1厨2卫,中楼层 (共6层),125.77㎡,错层,暂无数据,板楼,西南,混合结构,精装,一梯两户,无,2020-05-15,商品房,2006-01-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1004,['时代花城豪庭二期 4室1厅 东南'],170,11341,时代花城豪庭二期,郫都,郫县城区,4室1厅1厨2卫,高楼层 (共6层),149.91㎡,跃层,133.16㎡,板楼,东南,钢混结构,精装,一梯两户,无,2021-10-10,商品房,2015-12-02,普通住宅,满五年,共有,"
                                有抵押 10万元 工商银行 业主自还
                              ",已上传房本照片,,,,
1005,['华润橡树湾A区 4室1厅 东 东南'],暂无数据,首付及贷款情况请咨询经纪人,华润橡树湾A区,郫都,橡树湾,4室1厅1厨2卫,高楼层 (共34层),87.73㎡,平层,64.81㎡,板塔结合,东 东南,钢混结构,精装,两梯六户,有,2021-06-01,商品房,2013-06-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
