,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
57,['清华逸景 3室1厅 东南'],62,5180,清华逸景,青白江,青白江,3室1厅1厨1卫,高楼层 (共17层),119.71㎡,平层,15㎡,塔楼,东南,钢混结构,毛坯,两梯六户,有,2021-12-01,商品房,2017-12-14,普通住宅,满两年,共有,"
                                有抵押 20万元 农业银行 业主自还
                              ",已上传房本照片,,,,
58,['天骄星城翰林院 4室2厅 南'],98.2,6925,天骄星城翰林院,青白江,青白江,4室2厅1厨2卫,高楼层 (共13层),141.81㎡,平层,暂无数据,塔楼,南,框架结构,毛坯,十二梯四户,有,2021-11-25,商品房,2018-02-27,普通住宅,满两年,非共有,"
                                有抵押 40万元 业主自还
                              ",已上传房本照片,,,,
59,['蝴蝶洲 3室2厅 南 北'],暂无数据,首付及贷款情况请咨询经纪人,蝴蝶洲,青白江,青白江,3室2厅1厨2卫,中楼层 (共25层),86㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯五户,有,2021-11-30,商品房,2016-12-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
60,['嘉和世纪城 3室1厅 东南'],89,7441,嘉和世纪城,青白江,青白江,3室1厅1厨2卫,高楼层 (共28层),119.62㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,两梯四户,有,2021-12-13,商品房,2019-12-16,普通住宅,满两年,共有,"
                                有抵押 26万元
                              ",已上传房本照片,,,,
61,['华洲名城尚院 3室2厅 西南'],76,8144,华洲名城尚院,青白江,青白江,3室2厅1厨1卫,高楼层 (共15层),93.33㎡,平层,暂无数据,板塔结合,西南,框架结构,其他,一梯七户,有,2021-12-17,商品房,2018-02-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
62,['龙域都市兰亭 3室2厅 南'],70,7697,龙域都市兰亭,青白江,青白江,3室2厅1厨2卫,中楼层 (共6层),90.95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,无,2021-12-11,商品房,2012-12-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
63,['丽雅美锦 1室0厅 南'],28.2,7978,丽雅美锦,青白江,青白江,1室0厅1厨1卫,高楼层 (共26层),35.35㎡,平层,28.6㎡,板塔结合,南,框架结构,毛坯,三梯十六户,有,2021-12-24,商品房,2018-06-09,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
64,['青江名城 2室2厅 南'],66.5,6528,青江名城,青白江,青白江,2室2厅1厨2卫,中楼层 (共16层),101.87㎡,平层,暂无数据,塔楼,南,框架结构,精装,两梯九户,有,2021-12-19,商品房,2008-02-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
65,['蝴蝶洲 3室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,蝴蝶洲,青白江,青白江,3室2厅1厨2卫,高楼层 (共5层),113㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,一梯一户,暂无数据,2021-10-21,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押
                              ",未上传房本照片,,,,
66,['力合上域中央 3室1厅 东南'],80,5773,力合上域中央,青白江,青白江,3室1厅1厨2卫,高楼层 (共7层),138.6㎡,跃层,暂无数据,板楼,东南,钢混结构,简装,一梯三户,无,2021-06-27,商品房,2009-06-27,普通住宅,满五年,共有,"
                                有抵押 10万元 客户偿还
                              ",已上传房本照片,,,,
67,['誉府仕家 3室2厅 西南 南'],106,9325,誉府仕家,青白江,青白江,3室2厅1厨2卫,中楼层 (共26层),113.68㎡,平层,暂无数据,板塔结合,西南 南,钢混结构,其他,两梯五户,有,2021-09-24,商品房,2017-06-30,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
68,['北城映像东区 5室3厅 南'],暂无数据,首付及贷款情况请咨询经纪人,北城映像东区,青白江,青白江,5室3厅1厨2卫,高楼层 (共18层),96.14㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-04-03,商品房,2018-05-15,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,,,,
